id,label,x,y,closeness_all_edges,closeness_no_road_edges
50002,Ad fl. Tigrim,37.325,42.196,0.06817724068479356,
50209,Iulia Concordia,45.757,12.844,0.10597996242955542,
50327,Roma,41.892,12.486,0.12417461482024945,0.12128072445019406
50319,Praetorium,31.5,15.5,0.12074192973069378,0.11513662879950876
50294,Patavium,45.41,11.877,0.08946742434253997,
50322,Puteoli,40.824,14.122,0.1255796698200705,0.13139453398738613
50009,Aequum Tuticum,41.152,15.088,0.08987123324040887,
50330,Rutupiae,51.294,1.332,0.0853720050441362,0.08544087491455912
50008,Aelana,29.664,34.974,0.09058067968959058,
50326,Regium,38.109,15.644,0.14225677663374658,0.15782828282828282
50328,Rusaddir,35.292,-2.938,0.11843946815955213,0.12763784887678692
50329,Rusicade,36.883,6.906,0.11537150647580095,0.1182219419924338
50001,Abodiacum,47.91,10.91,0.07860211308487171,
50003,Ad Publicanos,45.667,6.387,0.08137997355451376,
50005,Ad Aras,38.5,-0.5,0.1126643368280912,
50289,Palantia,42.475,-5.297,0.10071407319250224,
50039,Archelais,38.402,33.95,0.08707395498392283,
50323,Ravenna,44.416,12.197,0.10185045885361817,0.08964857757590246
50290,Palmyra,34.768,38.286,0.0829656862745098,
50030,Apulum,46.077,23.58,0.07402143013339164,
50035,Aquincum,47.564,19.05,0.08166465621230398,0.2647058823529412
50331,Sabratha,32.806,12.485,0.11300283758971791,0.11969358442387489
50356,Singidunum,44.802,20.466,0.08999069520138243,0.23684210526315788
50359,Sirmium,44.966,19.61,0.0926635641938133,0.1978021978021978
50332,Saguntum,39.68,-0.279,0.10683288622376519,0.10847555684119178
50041,Argentorate,48.583,7.744,0.0762902862294343,0.05437146585471944
50333,Sala,34.015,-6.833,0.11829460073388083,0.12755102040816327
50360,Sisapo,38.645,-4.518,0.09464560324339438,
50364,Soura,35.864,38.914,0.07768215720022949,0.4666666666666667
50365,Spinis,51.412,-1.344,0.08358024691358025,
50286,Ostia/Portus,41.755,12.288,0.13424548879635137,0.13776634827332843
50370,Summuntorium,48.646,10.826,0.07427317608337905,0.144
50375,Taliata,44.444,22.144,0.08457214241099313,0.17307692307692307
50194,Hermopolis Magna,27.778,30.804,0.0773891175125743,0.08292790800530739
50361,Siscia,45.483,16.371,0.09870243475725324,0.16666666666666666
50366,Spoletium,42.745,12.738,0.09988197108291531,
50373,Syene,24.096,32.905,0.05287410184317401,0.05038968019349637
50392,Tibiscum,45.459,22.186,0.08080687514920029,
50398,Tolosa,43.604,1.443,0.11381977135171487,0.08992805755395683
50400,Tralles,37.853,27.844,0.10455598455598455,
50395,Ticinum,45.186,9.157,0.08983545647558386,0.06635993629446116
50407,Vappincum,44.56,6.076,0.10520590520590521,
50422,Virovesca,42.55,-3.323,0.08839274056665361,
50372,Summus Pyreneus (East),42.758,-0.828,0.08799064205874707,
50726,x,,,0.12074192973069378,0.12980269989615784
50435,Aginnum,0.0,0.0,0.10583085821478819,0.0987881981032666
50408,Veldidena,47.254,11.4,0.07821164510166359,0.144
50409,Venonis,52.494,-1.301,0.07814844742006233,
50424,Vivisco,46.459,6.847,0.07716858543257722,
50423,Virunum,46.703,14.36,0.0875129265770424,0.1782178217821782
50012,Ara Agrippinensium,50.941,6.96,0.07732724157624214,0.07374631268436578
50161,Edessa,37.176,38.776,0.07847455662455083,
50163,Emerita Augusta,38.916,-6.346,0.10865029690258385,
50184,Germa,39.511,31.616,0.09285420381292003,
50254,Memphis,30.004,31.276,0.10878997268198617,0.12042389210019268
50082,Bracara Augusta,41.552,-8.423,0.1112389089714098,
50074,Eleutheropolis,31.621,34.888,0.10914073835241013,
50160,Eburacum,53.958,-1.082,0.0789320275154483,0.0786493288590604
50159,Dyrrhachium,41.316,19.45,0.11447412918498479,0.10533707865168539
50179,Gades,36.53,-6.292,0.15145413870246086,0.16793551276309898
50181,Gaza,31.511,34.458,0.10956465447483411,0.11946479770627588
50414,Verona,45.439,10.994,0.09815861968972017,0.07614213197969544
50188,Hadrumetum,35.826,10.639,0.12410632447296059,0.11217469338917141
50198,Hippo Regius,36.884,7.755,0.1171280276816609,0.12065637065637065
50199,Hispalis,37.383,-5.996,0.13227823368503322,0.14406454091432963
50010,Aesernia,41.594,14.231,0.09148648648648648,
50391,Thuburnica,36.529,8.455,0.11300283758971791,
50252,Mediolanum (Aquitania),45.5,-0.5,0.10050475059382423,
50393,Tibur,41.964,12.798,0.11219754723235002,
50226,Larinum,41.807,14.919,0.09704701834862385,
50201,Iader,44.115,15.229,0.09907800380506367,0.08930697785186949
50210,Iuliomagus,47.469,-0.549,0.09850138222028226,0.09978712080894092
50283,Olisipo,38.707,-9.136,0.13668483747223906,0.14910536779324055
